Job Title,Industry,Required Skills
Architect,Construction,"Surveying, Budgeting, Blueprints"
Surveyor,Construction,"Safety Standards, Budgeting, Project Management"
University Professor,Education,"Curriculum Design, Lesson Planning, Counseling"
Tax Consultant,Finance,"Excel, Financial Modeling, Auditing"
Software Engineer,IT,"Programming, Cloud Computing, AI,Full Stack, Oops, ML"
Nurse,Medical,"Pharmacology, Patient Care, Public Health"
Doctor,Medical,"Surgery, Public Health, Patient Care"
Digital Marketer,Marketing,"Content Writing, Campaign Management, Market Research"
Primary School Teacher,Education,"Mentoring, Lesson Planning, Counseling"
Compliance Officer,Law,"Negotiation, Compliance, Legal Research"
Data Scientist,IT,"Networking, Cybersecurity, Cloud Computing, ML , NLP, AI"
Academic Counselor,Education,"Mentoring, Lesson Planning, Curriculum Design"
Electrical Engineer,Engineering,"CAD, Electronics, Structural Design"
Mechanical Engineer,Engineering,"Structural Design, CAD, Project Management"
Chef,Hospitality,"Front Office Management, Event Planning, Customer Service"
Event Planner,Hospitality,"Front Office Management, Customer Service, Culinary Skills"
Cloud Architect,IT,"AI, Networking, Programming"
Financial Analyst,Finance,"Excel, Auditing, Accounting"
Hotel Manager,Hospitality,"Housekeeping, Customer Service, Event Planning"
Customer Support Executive,Retail,"Inventory Management, Customer Relations, Merchandising"
Brand Manager,Marketing,"Market Research, Campaign Management, Social Media"
SEO Specialist,Marketing,"Market Research, SEO, Content Writing"
Site Supervisor,Construction,"Safety Standards, Blueprints, Budgeting"
Accountant,Finance,"Accounting, Auditing, Taxation"
Pharmacist,Medical,"Diagnosis, Patient Care, Pharmacology"
Store Supervisor,Retail,"Sales, Merchandising, Inventory Management"
Corporate Lawyer,Law,"Legal Research, Contract Drafting, Compliance"
Legal Advisor,Law,"Negotiation, Legal Research, Contract Drafting"
Civil Engineer,Engineering,"CAD, Electronics, Project Management"
Sales Manager,Retail,"Customer Relations, Sales, Point of Sale"
